Text,Anomalies present,Almarimi ,Salem,Detected as anomalous,Anomalies detected,Plagiarisms fully found,Precision,Recall,Accuracy,
1,0,Bad,Bad,No,0,0,N/A,N/A,1.0,
2,0,Bad,Very good,No,0,0,N/A,N/A,1.0,
3,8,Good,Good,Yes,8,6,0.86199,0.64317,0.97892,
4,4,Very good,Good,Yes,5,3,0.96914,0.44041,0.97723,
5,0,Good,Bad,No,0,0,N/A,N/A,1.0,
6,5,Good,Good,Yes,5,4,0.95544,0.70066,0.98376,
7,16,Good,Good,Yes,17,11,0.96484,0.57086,0.93510, 
8,0,Good,Bad,No,0,0,N/A,N/A,1.0,
9,13,Very good,Good,Yes,18,7,0.96983,0.74033,0.94197,
10,0,Good,Good,No,0,0,N/A,N/A,1.0,
11,11,Good,Bad,Yes,15,5,0.97097,0.49971,0.90252,
12,0,Good,Good,No,0,0,N/A,N/A,1.0,
13,10,Good,Bad,Yes,11,6,0.97104,0.73331,0.93134,
14,6,Good,Bad,Yes,6,6,0.84524,1.0,0.99217,
15,0,Good,Bad,No,0,0,N/A,N/A,1.0,
16,13,Good,Good,Yes,14,8,0.87025,0.60278,0.89595,
17,2,Good,Bad,Yes,2,2,0.81360,1.0,0.99134,
18,4,Bad,Bad,Yes,4,4,0.92491,1.0,0.97761,
19,9,Bad,Good,Yes,12,6,0.96844,0.54239,0.93122,
20,16,Very good,Good,Yes,17,13,0.91375,0.81106,0.96797,
21,12,Good,Bad,Yes,10,8,0.96058,0.64788,0.96629,
22,6,Bad,Good,Yes,6,6,0.83255,1.0,0.99023,
23,7,Good,Bad,Yes,6,6,0.92592,0.93515,0.99307,
24,0,Bad,Good,No,0,0,N/A,N/A,1.0,
25,5,Bad,Bad,Yes,5,4,0.87345,0.98484,0.99393,
26,12,Good,Good,Yes,16,5,0.97901,0.52520,0.88476,
27,0,Bad,Very good,No,0,0,N/A,N/A,1.0,
28,5,Bad,Good,Yes,5,4,0.69158,0.99955,0.98097,
29,8,Good,Good,Yes,6,6,0.88431,0.72009,0.98572,
30,4,Good,Bad,Yes,3,3,0.94405,0.94428,0.99466,
31,7,Good,Good,Yes,7,7,0.93517,1.0,0.99209,
32,3,Good,Bad,Yes,1,1,0.99302,0.14834,0.95852,
33,0,Good,Bad,No,0,0,N/A,N/A,1.0,
34,0,Good,Bad,No,0,0,N/A,N/A,1.0,
35,6,Good,Good,Yes,6,2,0.93592,0.39943,0.86238,
36,0,Good,Good,No,0,0,N/A,N/A,1.0,
37,9,Bad,Good,Yes,8,8,0.87936,0.97298,0.97936,
38,0,Very good,Bad,No,0,0,N/A,N/A,1.0,
39,0,Good,Good,No,0,0,N/A,N/A,1.0,
40,0,Good,Good,No,0,0,N/A,N/A,1.0,
